Ind,Target,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
3074,0,67.62,23,12,10.776,0,0,3,0.254,11,-6.55,30,30,32,16,0.307,0,0,0.8,0.625,63
3075,0,60.0,23,4,55.643,1,0,1,0.156,9,0.644,30,28,50,1,0.13699999999999998,0,0,0.8,4.0,1922
3076,0,84.39,13,17,36.116,0,0,2,0.693,4,-29.088,8,18,35,23,0.35700000000000004,0,0,0.875,0.7390000000000001,4
3077,0,11.11,23,18,-9.43,0,0,1,0.26899999999999996,18,-9.896,30,30,13,19,0.249,0,0,0.8,0.9470000000000001,379
3078,0,10.0,23,23,-6.419,0,0,1,0.68,14,-8.597000000000001,25,29,11,27,0.716,0,0,0.8,0.852,14
3079,1,10.5,23,21,0.276,0,0,3,0.424,2,-2.128,30,28,2,17,0.6759999999999999,0,0,0.8,1.235,829
3080,0,43.0,23,22,-0.768,1,0,1,0.13,5,-8.878,30,30,31,22,0.16399999999999998,0,0,0.733,1.0,5
3081,1,24.68,20,12,-0.03,0,0,2,0.652,7,-3.7060000000000004,30,29,13,21,0.584,0,0,0.767,0.5710000000000001,19
3082,0,5.0,23,24,-11.975999999999999,1,0,1,0.22699999999999998,5,-15.668,30,29,24,26,0.41200000000000003,0,0,0.8,0.9229999999999999,100
3083,1,5.0,23,26,-6.275,0,0,1,0.212,15,-11.972999999999999,29,27,0,25,0.5539999999999999,1,0,0.7839789159724365,0.88,104
3084,0,0.0,0,0,0.11199999999999999,1,0,0,0.614,24,4.619,30,27,17,0,0.405,0,5,0.8,0.0,952
3085,0,27.0,23,19,5.813,0,0,4,0.132,5,-10.258,30,30,12,23,0.243,0,0,0.8,0.696,415
3086,0,9.0,22,7,1.2229999999999999,1,0,2,0.049,4,-2.67,30,30,4,9,0.094,0,0,0.7839789159724365,0.778,1293
3087,0,10.92,23,24,-23.607,1,0,1,0.12,7,-10.204,30,30,32,27,0.14400000000000002,0,0,0.8,0.889,2381
3088,0,0.0,23,0,15.229000000000001,1,0,0,0.19699999999999998,24,7.495,30,30,11,0,0.28600000000000003,0,0,0.8,0.0,1565
3089,0,15.0,23,0,24.666,0,0,1,0.078,1,16.338,30,30,15,0,0.14,0,0,0.8,0.0,161
3090,1,0.0,0,28,-17.102999999999998,0,0,0,0.958,24,-17.1,15,24,11,30,0.8340000000000001,1,0,0.0,0.8,0
3091,0,44.0,22,0,1.7630000000000001,1,0,2,0.187,18,-0.183,30,29,12,3,0.28600000000000003,0,0,0.8,0.0,1772
3092,1,8.0,22,0,5.484,0,0,2,0.6990000000000001,14,-4.008,17,30,2,27,0.821,0,0,1.412,0.0,30
3093,1,15.0,23,7,0.634,0,0,2,0.736,7,-5.93,30,19,7,27,0.782,1,0,0.8,0.259,690
3094,0,6.0,14,1,2.222,1,0,2,0.12,4,0.016,30,22,2,0,0.316,0,0,0.8,1.0,1837
3095,0,2.5,23,24,-15.955,0,0,1,0.257,17,-19.487000000000002,21,30,35,25,0.355,0,0,1.143,0.96,37
3096,1,10.0,23,0,29.177,1,0,1,0.5489999999999999,7,1.392,30,30,6,1,0.675,0,0,0.8,0.0,214
3097,0,60.0,21,2,14.912,0,0,4,0.1,3,6.354,30,29,13,0,0.11599999999999999,0,0,0.767,2.0,17
3098,0,10.0,21,20,1.892,1,0,1,0.11199999999999999,1,-6.021,30,29,10,19,0.193,0,0,0.8,1.053,294
3099,0,0.0,8,0,4.087,1,0,0,0.13699999999999998,24,1.247,30,25,10,5,0.252,0,2,0.8,0.0,1424
3100,0,20.0,23,15,8.766,1,0,2,0.16399999999999998,4,-6.959,30,29,13,12,0.37200000000000005,0,0,0.8,1.25,1509
3101,0,10.0,17,11,3.075,0,0,2,0.24,1,-2.329,29,26,6,16,0.295,0,0,0.828,0.688,80
3102,1,65.0,23,9,-1.682,0,0,1,0.6829999999999999,7,-23.866,27,30,39,24,0.6459999999999999,0,0,0.889,0.375,25
